"filename", "language", "Markdown", "JSON with Comments", "Python", "Batch", "toml", "XML", "JSON", "comment", "blank", "total"
"c:\Twitch_private\BuildPackage.bat", "Batch", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Twitch_private\CallbackServer\CallbackServer.py", "Python", 0, 0, 38, 0, 0, 0, 0, 3, 5, 46
"c:\Twitch_private\CallbackServer\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Twitch_private\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Twitch_private\Twitch.code-workspace", "JSON with Comments", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Twitch_private\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Twitch_private\pyproject.toml", "toml", 0, 0, 0, 0, 30, 0, 0, 0, 9, 39
"c:\Twitch_private\secret.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Twitch_private\src\Twitch\API\Exceptions.py", "Python", 0, 0, 62, 0, 0, 0, 0, 0, 30, 92
"c:\Twitch_private\src\Twitch\API\Resources\Ads.py", "Python", 0, 0, 17, 0, 0, 0, 0, 3, 5, 25
"c:\Twitch_private\src\Twitch\API\Resources\Analytics.py", "Python", 0, 0, 58, 0, 0, 0, 0, 48, 11, 117
"c:\Twitch_private\src\Twitch\API\Resources\Bits.py", "Python", 0, 0, 104, 0, 0, 0, 0, 9, 27, 140
"c:\Twitch_private\src\Twitch\API\Resources\ChannelPoints.py", "Python", 0, 0, 188, 0, 0, 0, 0, 18, 20, 226
"c:\Twitch_private\src\Twitch\API\Resources\Channels.py", "Python", 0, 0, 110, 0, 0, 0, 0, 15, 23, 148
"c:\Twitch_private\src\Twitch\API\Resources\Charity.py", "Python", 0, 0, 47, 0, 0, 0, 0, 6, 6, 59
"c:\Twitch_private\src\Twitch\API\Resources\Chat.py", "Python", 0, 0, 246, 0, 0, 0, 0, 36, 41, 323
"c:\Twitch_private\src\Twitch\API\Resources\Clips.py", "Python", 0, 0, 54, 0, 0, 0, 0, 0, 3, 57
"c:\Twitch_private\src\Twitch\API\Resources\Entitlements.py", "Python", 0, 0, 47, 0, 0, 0, 0, 0, 8, 55
"c:\Twitch_private\src\Twitch\API\Resources\EventSub.py", "Python", 0, 0, 71, 0, 0, 0, 0, 0, 11, 82
"c:\Twitch_private\src\Twitch\API\Resources\Extensions.py", "Python", 0, 0, 245, 0, 0, 0, 0, 118, 42, 405
"c:\Twitch_private\src\Twitch\API\Resources\Games.py", "Python", 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"c:\Twitch_private\src\Twitch\API\Resources\Goals.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Twitch_private\src\Twitch\API\Resources\HypeTrain.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 7, 42
"c:\Twitch_private\src\Twitch\API\Resources\JWTGeneraotr.py", "Python", 0, 0, 19, 0, 0, 0, 0, 15, 4, 38
"c:\Twitch_private\src\Twitch\API\Resources\Moderation.py", "Python", 0, 0, 305, 0, 0, 0, 0, 237, 58, 600
"c:\Twitch_private\src\Twitch\API\Resources\Music.py", "Python", 0, 0, 81, 0, 0, 0, 0, 0, 13, 94
"c:\Twitch_private\src\Twitch\API\Resources\Polls.py", "Python", 0, 0, 69, 0, 0, 0, 0, 0, 14, 83
"c:\Twitch_private\src\Twitch\API\Resources\Predictions.py", "Python", 0, 0, 75, 0, 0, 0, 0, 0, 13, 88
"c:\Twitch_private\src\Twitch\API\Resources\Raids.py", "Python", 0, 0, 27, 0, 0, 0, 0, 0, 7, 34
"c:\Twitch_private\src\Twitch\API\Resources\ResponseTypes.py", "Python", 0, 0, 112, 0, 0, 0, 0, 0, 5, 117
"c:\Twitch_private\src\Twitch\API\Resources\Schedule.py", "Python", 0, 0, 114, 0, 0, 0, 0, 0, 19, 133
"c:\Twitch_private\src\Twitch\API\Resources\Search.py", "Python", 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\Twitch_private\src\Twitch\API\Resources\Streams.py", "Python", 0, 0, 107, 0, 0, 0, 0, 0, 17, 124
"c:\Twitch_private\src\Twitch\API\Resources\Subscriptions.py", "Python", 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"c:\Twitch_private\src\Twitch\API\Resources\Teams.py", "Python", 0, 0, 60, 0, 0, 0, 0, 0, 7, 67
"c:\Twitch_private\src\Twitch\API\Resources\Users.py", "Python", 0, 0, 136, 0, 0, 0, 0, 0, 28, 164
"c:\Twitch_private\src\Twitch\API\Resources\Utils.py", "Python", 0, 0, 55, 0, 0, 0, 0, 0, 17, 72
"c:\Twitch_private\src\Twitch\API\Resources\Videos.py", "Python", 0, 0, 63, 0, 0, 0, 0, 0, 10, 73
"c:\Twitch_private\src\Twitch\API\Resources\Whispers.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Twitch_private\src\Twitch\API\Resources\__TODO__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 31, 0, 31
"c:\Twitch_private\src\Twitch\API\Resources\__imports.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Twitch_private\src\Twitch\API\Resources\__init__.py", "Python", 0, 0, 222, 0, 0, 0, 0, 0, 3, 225
"c:\Twitch_private\src\Twitch\API\Resources\t.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Twitch_private\src\Twitch\API\TwitchAPI.py", "Python", 0, 0, 756, 0, 0, 0, 0, 1254, 163, 2173
"c:\Twitch_private\src\Twitch\API\_ApiRequest.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Twitch_private\src\Twitch\API\__init__.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Twitch_private\src\Twitch\API\api flow.svg", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 17
"c:\Twitch_private\src\Twitch\API\test\Ads_test.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Twitch_private\src\Twitch\API\test\Bits_Test.py", "Python", 0, 0, 49, 0, 0, 0, 0, 0, 6, 55
"c:\Twitch_private\src\Twitch\API\test\Utils.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Twitch_private\src\Twitch\API\test\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Twitch_private\src\Twitch\ChatInterface\Exceptions.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Twitch_private\src\Twitch\ChatInterface\IrcController.py", "Python", 0, 0, 64, 0, 0, 0, 0, 57, 11, 132
"c:\Twitch_private\src\Twitch\ChatInterface\MessageHandler.py", "Python", 0, 0, 548, 0, 0, 0, 0, 105, 69, 722
"c:\Twitch_private\src\Twitch\ChatInterface\TokenBucket.py", "Python", 0, 0, 39, 0, 0, 0, 0, 0, 12, 51
"c:\Twitch_private\src\Twitch\ChatInterface\TwitchChatInterface.py", "Python", 0, 0, 243, 0, 0, 0, 0, 357, 71, 671
"c:\Twitch_private\src\Twitch\ChatInterface\__init__.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Twitch_private\src\Twitch\EventSub\EventSubConnector.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Twitch_private\src\Twitch\EventSub\EventSubInterface.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Twitch_private\src\Twitch\EventSub\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Twitch_private\src\Twitch\OAuth\Exceptions.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Twitch_private\src\Twitch\OAuth\Oauth flow.svg", "XML", 0, 0, 0, 0, 0, 430, 0, 0, 0, 430
"c:\Twitch_private\src\Twitch\OAuth\Oauth.py", "Python", 0, 0, 83, 0, 0, 0, 0, 0, 12, 95
"c:\Twitch_private\src\Twitch\OAuth\__init__.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Twitch_private\src\Twitch\OAuth\test\oauthtest.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 3, 38
"c:\Twitch_private\src\Twitch\PubSub\PubSubConnector.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
"c:\Twitch_private\src\Twitch\PubSub\PubSubInterface.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 9, 31
"c:\Twitch_private\src\Twitch\PubSub\Topics.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Twitch_private\src\Twitch\PubSub\__init__.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Twitch_private\src\Twitch\Scope.py", "Python", 0, 0, 184, 0, 0, 0, 0, 127, 67, 378
"c:\Twitch_private\src\Twitch\SubscriptionTypes.py", "Python", 0, 0, 64, 0, 0, 0, 0, 0, 22, 86
"c:\Twitch_private\src\Twitch\WebsocketClient\WebsocketClient.py", "Python", 0, 0, 86, 0, 0, 0, 0, 0, 13, 99
"c:\Twitch_private\src\Twitch\WebsocketClient\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Twitch_private\src\Twitch\WebsocketClient\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Twitch_private\src\Twitch\WebsocketClient\tests\client_run_test.py", "Python", 0, 0, 92, 0, 0, 0, 0, 0, 18, 110
"c:\Twitch_private\src\Twitch\__init__.py", "Python", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Twitch_private\test\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Twitch_private\test\test1.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 3, 34
"Total", "-", 2, 20, 5345, 9, 30, 447, 0, 2439, 996, 9288