,1s,1s,1s
,x,y,z
0,,,
27.21,1.7275,1.7406,1.766
40.81,1.0028,1.0124,1.0257
54.42,0.63702,0.64452,0.6519
68.02,0.43119,0.43721,0.4414
81.63,0.3059,0.31086,0.3132
95.23,0.22501,0.22916,0.23039
108.84,0.17033,0.17385,0.17438
122.44,0.13199,0.13501,0.13511
136.05,0.1043,0.10691,0.10672
149.65,0.083794,0.086068,0.085693
163.26,0.068283,0.070276,0.069785
176.86,0.056338,0.058093,0.057531
190.47,0.046992,0.048546,0.047942
204.07,0.039579,0.040959,0.040335
217.68,0.033627,0.034856,0.034227
231.28,0.028794,0.029893,0.029268
244.89,0.024832,0.025817,0.025202
258.49,0.021554,0.02244,0.02184
272.1,0.018821,0.019618,0.019036
285.7,0.016525,0.017243,0.016681
299.31,0.014583,0.015231,0.014689
312.91,0.01293,0.013515,0.012995
326.52,0.011514,0.012044,0.011544
340.12,0.010296,0.010775,0.010296
353.73,0.0092412,0.0096746,0.0092161
367.33,0.0083245,0.0087169,0.0082782
380.94,0.0075241,0.0078792,0.0074596
394.54,0.0068223,0.0071435,0.0067424
408.15,0.0062045,0.0064949,0.0061115
421.75,0.0056587,0.0059209,0.0055545
435.36,0.0051747,0.0054113,0.0050611
448.96,0.0047442,0.0049573,0.0046226
462.57,0.00436,0.0045516,0.0042317
476.17,0.0040163,0.004188,0.0038823
489.78,0.0037077,0.0038612,0.003569
503.38,0.0034301,0.0035668,0.0032874
516.99,0.0031796,0.0033009,0.0030337
530.59,0.002953,0.0030601,0.0028046
544.2,0.0027477,0.0028415,0.0025972
557.8,0.0025611,0.0026428,0.002409
571.41,0.0023913,0.0024616,0.002238
585.01,0.0022363,0.0022962,0.0020822
598.62,0.0020947,0.0021449,0.0019401
612.22,0.001965,0.0020062,0.0018102
625.83,0.001846,0.0018788,0.0016912
639.43,0.0017367,0.0017617,0.001582
653.04,0.001636,0.0016538,0.0014818
666.64,0.0015431,0.0015543,0.0013895
680.25,0.0014574,0.0014623,0.0013045
693.85,0.0013781,0.0013772,0.0012261
707.46,0.0013047,0.0012984,0.0011536
721.06,0.0012365,0.0012253,0.0010866
734.67,0.0011733,0.0011573,0.0010244
748.27,0.0011144,0.0010942,0.00096682
761.88,0.0010596,0.0010353,0.00091331
775.48,0.0010085,0.00098048,0.00086356
789.09,0.00096082,0.00092931,0.00081726
802.69,0.00091625,0.0008815,0.00077411
816.3,0.00087455,0.00083678,0.00073387
829.9,0.00083549,0.00079492,0.00069629
843.51,0.00079888,0.0007557,0.00066118
857.11,0.00076451,0.00071891,0.00062832
870.72,0.00073221,0.00068436,0.00059756
884.32,0.00070184,0.00065191,0.00056872
897.93,0.00067326,0.00062139,0.00054167
911.53,0.00064631,0.00059265,0.00051627
925.14,0.0006209,0.00056558,0.0004924
938.74,0.0005969,0.00054006,0.00046995
952.35,0.00057423,0.00051597,0.00044882
965.95,0.00055279,0.00049324,0.00042892
979.56,0.00053248,0.00047175,0.00041015
993.16,0.00051325,0.00045142,0.00039244
1006.77,0.00049502,0.00043219,0.00037573
1020.37,0.00047771,0.00041398,0.00035993
1033.98,0.00046127,0.00039672,0.000345
1047.58,0.00044564,0.00038035,0.00033087
1061.19,0.00043078,0.00036482,0.00031749
1074.79,0.00041663,0.00035007,0.00030481
1088.4,0.00040315,0.00033606,0.00029279
1102.0,0.0003903,0.00032274,0.00028139
1115.61,0.00037803,0.00031007,0.00027057
1129.21,0.00036632,0.00029801,0.00026028
1142.82,0.00035514,0.00028653,0.00025051
1156.42,0.00034445,0.00027559,0.00024122
1170.03,0.00033422,0.00026515,0.00023237
1183.63,0.00032442,0.0002552,0.00022395
1197.24,0.00031504,0.0002457,0.00021592
1210.84,0.00030605,0.00023664,0.00020828
1224.45,0.00029742,0.00022797,0.00020098
1238.05,0.00028915,0.00021969,0.00019402
1251.66,0.0002812,0.00021177,0.00018737
1265.26,0.00027355,0.0002042,0.00018102
1278.87,0.00026621,0.00019695,0.00017495
1292.47,0.00025914,0.00019,0.00016915
1306.08,0.00025234,0.00018335,0.00016359
1319.68,0.00024578,0.00017698,0.00015828
1333.29,0.00023946,0.00017087,0.00015319
1346.89,0.00023338,0.00016501,0.00014831
1360.5,0.0002275,0.00015938,0.00014364
1374.1,0.00022183,0.00015398,0.00013915
1387.71,0.00021635,0.00014879,0.00013485
1401.31,0.00021106,0.00014381,0.00013072
1414.92,0.00020594,0.00013902,0.00012676
1428.52,0.00020099,0.00013443,0.00012295
1442.13,0.0001962,0.00013,0.00011929
1455.73,0.00019156,0.00012574,0.00011577
1469.34,0.00018707,0.00012165,0.00011239
1482.94,0.00018272,0.0001177,0.00010913
1496.55,0.0001785,0.00011391,0.000106
1510.15,0.0001744,0.00011025,0.00010298
1523.76,0.00017043,0.00010673,0.00010007
1537.36,0.00016657,0.00010333,9.7272e-05
1550.97,0.00016282,0.00010006,9.4572e-05
1564.57,0.00015918,9.6906e-05,9.1969e-05
1578.18,0.00015564,9.3863e-05,8.9458e-05
1591.78,0.00015219,9.0927e-05,8.7034e-05
1605.39,0.00014884,8.8093e-05,8.4695e-05
1618.99,0.00014558,8.5358e-05,8.2435e-05
1632.6,0.00014241,8.2717e-05,8.0254e-05
1646.2,0.00013932,8.0169e-05,7.8147e-05
1659.81,0.00013631,7.7707e-05,7.611e-05
1673.41,0.00013338,7.5328e-05,7.4142e-05
1687.02,0.00013052,7.3029e-05,7.2237e-05
1700.62,0.00012773,7.0807e-05,7.0395e-05
1714.23,0.00012501,6.8659e-05,6.8611e-05
1727.83,0.00012236,6.6585e-05,6.6889e-05
1741.44,0.00011977,6.4577e-05,6.5219e-05
1755.04,0.00011725,6.2636e-05,6.3603e-05
1768.65,0.00011478,6.0758e-05,6.2037e-05
1782.25,0.00011238,5.894e-05,6.0519e-05
1795.86,0.00011002,5.7179e-05,5.9046e-05
1809.46,0.00010773,5.5481e-05,5.7625e-05
1823.07,0.00010549,5.3833e-05,5.6243e-05
1836.67,0.00010329,5.2239e-05,5.4903e-05
1850.28,0.00010115,5.0695e-05,5.3604e-05
1863.88,9.9055e-05,4.92e-05,5.2343e-05
1877.49,9.7001e-05,4.775e-05,5.1118e-05
1891.09,9.5003e-05,4.6351e-05,4.9934e-05
1904.7,9.3037e-05,4.4991e-05,4.878e-05
1918.3,9.1116e-05,4.3674e-05,4.7661e-05
1931.91,8.9237e-05,4.2399e-05,4.6574e-05
1945.51,8.7396e-05,4.1163e-05,4.5518e-05
1959.12,8.5593e-05,3.9964e-05,4.4492e-05
1972.72,8.3835e-05,3.8806e-05,4.3498e-05
1986.33,8.2101e-05,3.7679e-05,4.2527e-05
1999.93,8.0406e-05,3.6587e-05,4.1585e-05
2013.54,7.8746e-05,3.5529e-05,4.0669e-05
2027.14,7.7119e-05,3.4503e-05,3.9779e-05
2040.75,7.5525e-05,3.3508e-05,3.8913e-05
2054.35,7.3959e-05,3.2542e-05,3.8069e-05
2067.96,7.2431e-05,3.1609e-05,3.7251e-05
2081.56,7.0926e-05,3.0701e-05,3.6453e-05
2095.17,6.9452e-05,2.982e-05,3.5676e-05
2108.77,6.8006e-05,2.8966e-05,3.492e-05
2122.38,6.6588e-05,2.8137e-05,3.4185e-05
2135.98,6.5197e-05,2.7333e-05,3.3469e-05
2149.59,6.3834e-05,2.6554e-05,3.2772e-05
2163.19,6.2494e-05,2.5797e-05,3.2092e-05
2176.8,6.1179e-05,2.5062e-05,3.143e-05
2190.4,5.9889e-05,2.4349e-05,3.0785e-05
2204.01,5.8623e-05,2.3657e-05,3.0156e-05
2217.61,5.7382e-05,2.2986e-05,2.9544e-05
2231.22,5.6164e-05,2.2335e-05,2.8947e-05
2244.82,5.4969e-05,2.1702e-05,2.8366e-05
2258.43,5.3796e-05,2.1088e-05,2.7799e-05
2272.03,5.2644e-05,2.0492e-05,2.7246e-05
2285.64,5.1513e-05,1.9914e-05,2.6706e-05
2299.24,5.0402e-05,1.9352e-05,2.6179e-05
2312.85,4.9312e-05,1.8806e-05,2.5666e-05
2326.45,4.8243e-05,1.8277e-05,2.5165e-05
2340.06,4.7195e-05,1.7763e-05,2.4678e-05
2353.66,4.6164e-05,1.7264e-05,2.4202e-05
2367.27,4.5153e-05,1.678e-05,2.3737e-05
2380.87,4.4159e-05,1.6309e-05,2.3283e-05
2394.48,4.3182e-05,1.5852e-05,2.2839e-05
2408.08,4.2223e-05,1.5408e-05,2.2406e-05
2421.69,4.1281e-05,1.4977e-05,2.1984e-05
2435.29,4.036e-05,1.4559e-05,2.1572e-05
2448.9,3.9452e-05,1.4153e-05,2.117e-05
2462.5,3.8562e-05,1.3758e-05,2.0777e-05
2476.11,3.7687e-05,1.3375e-05,2.0393e-05
2489.71,3.6827e-05,1.3003e-05,2.0017e-05
2503.32,3.5981e-05,1.2641e-05,1.965e-05
2516.92,3.5151e-05,1.2289e-05,1.9291e-05
2530.53,3.4341e-05,1.195e-05,1.8943e-05
2544.13,3.3541e-05,1.1618e-05,1.8601e-05
2557.74,3.2756e-05,1.1297e-05,1.8267e-05
2571.34,3.1986e-05,1.0985e-05,1.794e-05
2584.95,3.1229e-05,1.0681e-05,1.7621e-05
2598.55,3.0486e-05,1.0386e-05,1.7308e-05
2612.16,2.9754e-05,1.0099e-05,1.7001e-05
2625.76,2.9043e-05,9.8229e-06,1.6706e-05
2639.37,2.8339e-05,9.5525e-06,1.6413e-05
2652.97,2.7649e-05,9.2901e-06,1.6128e-05
2666.58,2.6972e-05,9.0355e-06,1.5849e-05
2680.18,2.6308e-05,8.7882e-06,1.5576e-05
2693.79,2.5656e-05,8.5479e-06,1.5309e-05
2707.39,2.5015e-05,8.3137e-06,1.5046e-05
2721.0,2.4392e-05,8.0886e-06,1.4793e-05
2734.6,2.3775e-05,7.8678e-06,1.4542e-05
2748.21,2.3171e-05,7.6537e-06,1.4297e-05
2761.81,2.2578e-05,7.4459e-06,1.4057e-05
2775.42,2.1998e-05,7.2442e-06,1.3823e-05
2789.02,2.1428e-05,7.0483e-06,1.3593e-05
2802.63,2.087e-05,6.8579e-06,1.3369e-05
2816.23,2.0321e-05,6.6727e-06,1.3148e-05
2829.84,1.9786e-05,6.4938e-06,1.2934e-05
2843.44,1.9259e-05,6.3191e-06,1.2723e-05
2857.05,1.8743e-05,6.1495e-06,1.2516e-05
2870.65,1.8237e-05,5.9848e-06,1.2314e-05
2884.26,1.7741e-05,5.8249e-06,1.2116e-05
2897.86,1.7255e-05,5.6697e-06,1.1922e-05
2911.47,1.6779e-05,5.519e-06,1.1733e-05
2925.07,1.6313e-05,5.3727e-06,1.1547e-05
2938.68,1.5856e-05,5.2304e-06,1.1365e-05
2952.28,1.5407e-05,5.0921e-06,1.1186e-05
2965.89,1.4968e-05,4.9578e-06,1.1011e-05
2979.49,1.4537e-05,4.8273e-06,1.0839e-05
2993.1,1.4116e-05,4.7006e-06,1.0671e-05
3006.7,1.3703e-05,4.5776e-06,1.0506e-05
3020.31,1.3299e-05,4.4583e-06,1.0345e-05
3033.91,1.2904e-05,4.3423e-06,1.0187e-05
3047.52,1.2516e-05,4.2297e-06,1.0032e-05
3061.12,1.2137e-05,4.1203e-06,9.8805e-06
3074.73,1.1765e-05,4.0139e-06,9.7313e-06
3088.33,1.1401e-05,3.9106e-06,9.585e-06
3101.94,1.1045e-05,3.8103e-06,9.4415e-06
3115.54,1.0696e-05,3.7128e-06,9.3008e-06
3129.15,1.0355e-05,3.6183e-06,9.1631e-06
3142.75,1.0023e-05,3.5267e-06,9.0286e-06
3156.36,9.6968e-06,3.4376e-06,8.8962e-06
3169.96,9.3781e-06,3.351e-06,8.7664e-06
3183.57,9.0665e-06,3.2669e-06,8.6389e-06
3197.17,8.7617e-06,3.1852e-06,8.5137e-06
3210.78,8.4637e-06,3.1058e-06,8.3907e-06
3224.38,8.1724e-06,3.0286e-06,8.2699e-06
3237.99,7.8879e-06,2.9536e-06,8.1513e-06
3251.59,7.6119e-06,2.8815e-06,8.0368e-06
3265.2,7.3411e-06,2.811e-06,7.9229e-06
3278.8,7.077e-06,2.7425e-06,7.8114e-06
3292.41,6.8194e-06,2.6761e-06,7.702e-06
3306.01,6.568e-06,2.6115e-06,7.5944e-06
3319.62,6.3228e-06,2.5488e-06,7.4887e-06
3333.22,6.0835e-06,2.4877e-06,7.3846e-06
3346.83,5.8502e-06,2.4284e-06,7.2822e-06
3360.43,5.625e-06,2.3717e-06,7.1843e-06
3374.04,5.4038e-06,2.3158e-06,7.0856e-06
3387.64,5.1888e-06,2.2616e-06,6.9893e-06
3401.25,4.9797e-06,2.2091e-06,6.8948e-06
3414.85,4.7763e-06,2.1582e-06,6.8021e-06
3428.46,4.5784e-06,2.1087e-06,6.7109e-06
3442.06,4.3859e-06,2.0605e-06,6.6211e-06
3455.67,4.1981e-06,2.0134e-06,6.5318e-06
3469.27,4.0184e-06,1.9691e-06,6.4485e-06
3482.88,3.8411e-06,1.9247e-06,6.3624e-06
3496.48,3.6696e-06,1.8819e-06,6.2786e-06
3510.09,3.5033e-06,1.8404e-06,6.1966e-06
3523.69,3.342e-06,1.8002e-06,6.1162e-06
3537.3,3.1856e-06,1.7611e-06,6.0372e-06
3550.9,3.034e-06,1.7232e-06,5.9594e-06
3564.51,2.8869e-06,1.6863e-06,5.8827e-06
3578.11,2.7438e-06,1.6501e-06,5.8062e-06
3591.72,2.6072e-06,1.6161e-06,5.7349e-06
3605.32,2.4737e-06,1.5823e-06,5.6618e-06
3618.93,2.3446e-06,1.5495e-06,5.5903e-06
3632.53,2.2199e-06,1.5177e-06,5.52e-06
3646.14,2.0995e-06,1.4869e-06,5.4511e-06
3659.74,1.9832e-06,1.457e-06,5.3834e-06
3673.35,1.8711e-06,1.428e-06,5.3169e-06
3686.95,1.7627e-06,1.3998e-06,5.251e-06
3700.56,1.6589e-06,1.3728e-06,5.1879e-06
3714.16,1.5583e-06,1.3461e-06,5.1241e-06
3727.77,1.4616e-06,1.3203e-06,5.0615e-06
3741.37,1.3687e-06,1.2952e-06,5e-06
3754.98,1.2794e-06,1.271e-06,4.9395e-06
3768.58,1.1938e-06,1.2474e-06,4.8801e-06
3782.19,1.1117e-06,1.2246e-06,4.8218e-06
3795.79,1.0331e-06,1.2025e-06,4.7645e-06
3809.4,9.5791e-07,1.181e-06,4.7081e-06
3823.0,8.8611e-07,1.1602e-06,4.6528e-06
3836.61,8.1751e-07,1.14e-06,4.5981e-06
3850.21,7.5213e-07,1.1204e-06,4.5442e-06
3863.82,6.8991e-07,1.1013e-06,4.4911e-06
3877.42,6.3081e-07,1.0828e-06,4.4388e-06
3891.03,5.7477e-07,1.0649e-06,4.3873e-06
3904.63,5.2175e-07,1.0475e-06,4.3367e-06
3918.24,4.7168e-07,1.0307e-06,4.2871e-06
3931.84,4.245e-07,1.0145e-06,4.2383e-06
3945.45,3.8014e-07,9.9868e-07,4.1902e-06
3959.05,3.3854e-07,9.8338e-07,4.1429e-06
3972.66,2.9964e-07,9.6853e-07,4.0962e-06
3986.26,2.6339e-07,9.5412e-07,4.0501e-06
3999.87,2.2973e-07,9.4013e-07,4.0047e-06
4013.47,1.9862e-07,9.2656e-07,3.9598e-06
4027.08,1.7001e-07,9.1342e-07,3.9157e-06
4040.68,1.4383e-07,9.007e-07,3.8722e-06
4054.29,1.2004e-07,8.8841e-07,3.8296e-06
4067.89,9.8585e-08,8.7664e-07,3.7881e-06
4081.5,7.9388e-08,8.6513e-07,3.7468e-06
4095.1,6.2408e-08,8.54e-07,3.7061e-06
4108.71,4.7588e-08,8.4321e-07,3.666e-06
4122.31,3.4876e-08,8.3275e-07,3.6263e-06
4135.92,2.4221e-08,8.2261e-07,3.5871e-06
4149.52,1.5571e-08,8.1277e-07,3.5485e-06
4163.13,8.8759e-09,8.0322e-07,3.5102e-06
4176.73,4.0859e-09,7.9401e-07,3.4725e-06
4190.34,1.1503e-09,7.8545e-07,3.4369e-06
4203.94,1.7454e-11,7.7686e-07,3.4004e-06
4217.55,6.3926e-10,7.6862e-07,3.3647e-06
4231.15,2.967e-09,7.6066e-07,3.3295e-06
4244.76,6.9526e-09,7.5298e-07,3.2948e-06
4258.36,1.2549e-08,7.4554e-07,3.2605e-06
4271.97,1.9708e-08,7.3833e-07,3.2266e-06
4285.57,2.8384e-08,7.3133e-07,3.1928e-06
4299.18,3.8532e-08,7.2456e-07,3.1595e-06
4312.78,5.0143e-08,7.1853e-07,3.1289e-06
4326.39,6.3108e-08,7.1219e-07,3.0962e-06
4339.99,7.7427e-08,7.062e-07,3.0646e-06
4353.6,9.3054e-08,7.0047e-07,3.0335e-06
4367.2,1.0995e-07,6.9497e-07,3.0029e-06
4380.81,1.2807e-07,6.8969e-07,2.9727e-06
4394.41,1.4737e-07,6.8459e-07,2.9429e-06
4408.02,1.678e-07,6.7966e-07,2.9132e-06
4421.62,1.8931e-07,6.7478e-07,2.8834e-06
4435.23,2.1217e-07,6.7103e-07,2.8579e-06
4448.83,2.3571e-07,6.6631e-07,2.8279e-06
4462.44,2.6036e-07,6.621e-07,2.7996e-06
4476.04,2.8599e-07,6.5813e-07,2.7719e-06
4489.65,3.1257e-07,6.5436e-07,2.7447e-06
4503.25,3.4005e-07,6.5079e-07,2.7179e-06
4516.86,3.6841e-07,6.4739e-07,2.6915e-06
4530.46,3.9758e-07,6.4414e-07,2.6654e-06
4544.07,4.2753e-07,6.4101e-07,2.6395e-06
4557.67,4.5817e-07,6.3797e-07,2.6135e-06
4571.28,4.8989e-07,6.3555e-07,2.5899e-06
4584.88,5.2193e-07,6.328e-07,2.5645e-06
4598.49,5.5467e-07,6.3027e-07,2.5398e-06
4612.09,5.8805e-07,6.279e-07,2.5154e-06
4625.7,6.2203e-07,6.2569e-07,2.4915e-06
4639.3,6.5658e-07,6.2365e-07,2.4679e-06
4652.91,6.9167e-07,6.2176e-07,2.4446e-06
4666.51,7.2726e-07,6.2e-07,2.4217e-06
4680.12,7.6326e-07,6.1834e-07,2.3989e-06
4693.72,7.995e-07,6.1668e-07,2.3759e-06
4707.33,8.3672e-07,6.1558e-07,2.3549e-06
4720.93,8.7384e-07,6.1427e-07,2.3328e-06
4734.54,9.1128e-07,6.1308e-07,2.311e-06
4748.14,9.4901e-07,6.1202e-07,2.2895e-06
4761.75,9.8701e-07,6.1107e-07,2.2683e-06
4775.35,1.0253e-06,6.1026e-07,2.2474e-06
4788.96,1.0638e-06,6.0959e-07,2.2268e-06
4802.56,1.1025e-06,6.0904e-07,2.2065e-06
4816.17,1.1413e-06,6.086e-07,2.1865e-06
4829.77,1.1804e-06,6.0831e-07,2.1668e-06
4843.38,1.2195e-06,6.0806e-07,2.1472e-06
4856.98,1.2587e-06,6.079e-07,2.1278e-06
4870.59,1.2978e-06,6.0783e-07,2.1086e-06
4884.19,1.337e-06,6.0784e-07,2.0895e-06
4897.8,1.3761e-06,6.0794e-07,2.0706e-06
4911.4,1.4152e-06,6.0814e-07,2.052e-06
4925.01,1.4543e-06,6.0844e-07,2.0336e-06
4938.61,1.4934e-06,6.0886e-07,2.0155e-06
4952.22,1.5324e-06,6.0938e-07,1.9976e-06
4965.82,1.5714e-06,6.1004e-07,1.9802e-06
4979.43,1.6103e-06,6.1075e-07,1.9628e-06
4993.03,1.649e-06,6.1155e-07,1.9456e-06
5006.64,1.6875e-06,6.1241e-07,1.9285e-06
5020.24,1.7257e-06,6.1333e-07,1.9116e-06
5033.85,1.7637e-06,6.1431e-07,1.8948e-06
5047.45,1.8015e-06,6.1535e-07,1.8781e-06
